step,loss,expert_tail_theta,act_tail_theta,expert_success,act_success
120,0.21437154710292816,0.0029920412434471973,0.5800992276933458,1.0,0.3333333333333333
240,0.1879815310239792,0.002985466188854641,1.4359035468763774,1.0,0.0
360,0.1401222050189972,0.002817753950754801,0.8766590290599399,1.0,0.0
480,0.15401014685630798,0.0023917376995086673,1.8201518495877582,1.0,0.0
600,0.09383328258991241,0.002456240521536933,0.7096184098058278,1.0,0.5
720,0.04184159263968468,0.00298778944545322,1.2116564883126155,1.0,0.3333333333333333
840,0.021629691123962402,0.003163149621751573,0.2863119300868776,1.0,0.8333333333333334
960,0.020835107192397118,0.0020561357339223224,0.9961270090606479,1.0,0.3333333333333333
1080,0.014939294196665287,0.004036260975731744,1.542653746737374,1.0,0.0
1200,0.021648699417710304,0.0036929474936591255,1.3715110851658714,1.0,0.0
1320,0.021304940804839134,0.003069718016518487,1.524577299422688,1.0,0.0
1440,0.009316773153841496,0.00231840279367235,1.2451306740442913,1.0,0.16666666666666666
1560,0.014801301062107086,0.0030621237225002713,1.5644214716222553,1.0,0.0
1680,0.014337544329464436,0.0021553741561041936,0.4974237283070882,1.0,0.6666666666666666
1800,0.021258534863591194,0.002557367086410523,1.4318147444062763,1.0,0.0
